ReturnID,OrderID,Reason
RE00001,ORD28542,Wrong Item
RE00002,ORD52402,Other
RE00003,ORD11609,Damaged
RE00004,ORD18979,Damaged
RE00005,ORD25816,Other
RE00006,ORD27294,Damaged
RE00007,ORD18123,Other
RE00008,ORD40171,Other
RE00009,ORD52942,Customer Dissatisfaction
RE00010,ORD38269,Wrong Item
RE00011,ORD07119,Damaged
RE00012,ORD39373,Other
RE00013,ORD11884,Wrong Item
RE00014,ORD34531,Customer Dissatisfaction
RE00015,ORD27913,Other
RE00016,ORD47301,Customer Dissatisfaction
RE00017,ORD48011,Other
RE00018,ORD32847,Wrong Item
RE00019,ORD11295,Damaged
RE00020,ORD26870,Customer Dissatisfaction
RE00021,ORD40551,Other
RE00022,ORD12579,Customer Dissatisfaction
RE00023,ORD00187,Other
RE00024,ORD54579,Customer Dissatisfaction
RE00025,ORD35900,Other
RE00026,ORD04679,Customer Dissatisfaction
RE00027,ORD37258,Damaged
RE00028,ORD22902,Damaged
RE00029,ORD20093,Damaged
RE00030,ORD56187,Wrong Item
RE00031,ORD33289,Customer Dissatisfaction
RE00032,ORD31145,Wrong Item
RE00033,ORD21451,Other
RE00034,ORD21721,Customer Dissatisfaction
RE00035,ORD08010,Damaged
RE00036,ORD23879,Other
RE00037,ORD17764,Customer Dissatisfaction
RE00038,ORD34699,Customer Dissatisfaction
RE00039,ORD40486,Other
RE00040,ORD16827,Damaged
RE00041,ORD12084,Other
RE00042,ORD45828,Damaged
RE00043,ORD39830,Other
RE00044,ORD36312,Customer Dissatisfaction
RE00045,ORD28979,Damaged
RE00046,ORD01127,Wrong Item
RE00047,ORD56768,Other
RE00048,ORD26594,Other
RE00049,ORD37670,Customer Dissatisfaction
RE00050,ORD08318,Other
RE00051,ORD15979,Other
RE00052,ORD14311,Wrong Item
RE00053,ORD44467,Damaged
RE00054,ORD12448,Wrong Item
RE00055,ORD53403,Other
RE00056,ORD26997,Other
RE00057,ORD08132,Customer Dissatisfaction
RE00058,ORD41173,Wrong Item
RE00059,ORD55971,Wrong Item
RE00060,ORD18985,Other
RE00061,ORD29145,Wrong Item
RE00062,ORD46641,Other
RE00063,ORD39561,Wrong Item
RE00064,ORD59332,Damaged
RE00065,ORD50154,Damaged
RE00066,ORD28746,Wrong Item
RE00067,ORD21146,Damaged
RE00068,ORD03559,Wrong Item
RE00069,ORD04243,Wrong Item
RE00070,ORD23658,Customer Dissatisfaction
RE00071,ORD19965,Wrong Item
RE00072,ORD19734,Damaged
RE00073,ORD22570,Wrong Item
RE00074,ORD11551,Wrong Item
RE00075,ORD59548,Customer Dissatisfaction
RE00076,ORD22372,Other
RE00077,ORD17097,Other
RE00078,ORD36523,Other
RE00079,ORD36740,Damaged
RE00080,ORD47138,Damaged
RE00081,ORD25314,Customer Dissatisfaction
RE00082,ORD30506,Customer Dissatisfaction
RE00083,ORD00610,Damaged
RE00084,ORD30205,Customer Dissatisfaction
RE00085,ORD08069,Wrong Item
RE00086,ORD41200,Customer Dissatisfaction
RE00087,ORD04771,Damaged
RE00088,ORD26552,Damaged
RE00089,ORD23269,Other
RE00090,ORD18350,Other
RE00091,ORD35309,Other
RE00092,ORD32742,Damaged
RE00093,ORD41735,Other
RE00094,ORD26572,Damaged
RE00095,ORD32901,Wrong Item
RE00096,ORD27298,Damaged
RE00097,ORD44436,Wrong Item
RE00098,ORD41006,Wrong Item
RE00099,ORD26149,Customer Dissatisfaction
RE00100,ORD03359,Damaged
RE00101,ORD51093,Customer Dissatisfaction
RE00102,ORD40861,Customer Dissatisfaction
RE00103,ORD17386,Damaged
RE00104,ORD23511,Other
RE00105,ORD55948,Wrong Item
