OrderID,CustomerID,ProductID,OrderDate,ShippedDate,QuantitySold
ORD36001,EM02082,PRO00965,01-02-2023,21-11-2023,2
ORD36002,EM03057,PRO00535,16-04-2023,30-04-2023,13
ORD36003,EM03115,PRO00838,04-12-2023,02-07-2023,6
ORD36004,EM02785,PRO00084,11-10-2023,11-04-2023,9
ORD36005,EM04146,PRO00462,20-04-2023,29-06-2023,1
ORD36006,EM01709,PRO00973,18-08-2023,24-07-2023,15
ORD36007,EM04226,PRO00764,13-12-2023,02-08-2023,18
ORD36008,EM02442,PRO00549,04-03-2023,25-02-2023,2
ORD36009,EM03193,PRO00208,11-11-2023,09-09-2023,18
ORD36010,EM02887,PRO00855,30-08-2023,05-02-2023,14
ORD36011,EM04173,PRO00305,23-10-2023,08-08-2023,15
ORD36012,EM01735,PRO00301,14-12-2023,27-06-2023,14
ORD36013,EM01816,PRO00249,11-09-2023,22-11-2023,3
ORD36014,EM03312,PRO00190,17-01-2023,14-05-2023,17
ORD36015,EM04791,PRO00078,31-01-2023,10-04-2023,12
ORD36016,EM02639,PRO00192,30-10-2023,31-08-2023,15
ORD36017,EM02688,PRO00164,02-09-2023,10-01-2023,9
ORD36018,EM05488,PRO00154,12-09-2023,15-03-2023,19
ORD36019,EM00345,PRO00822,18-08-2023,04-05-2023,3
ORD36020,EM00239,PRO00790,14-09-2023,21-08-2023,11
ORD36021,EM01755,PRO00941,25-04-2023,01-04-2023,14
ORD36022,EM00690,PRO00878,15-01-2023,06-11-2023,11
ORD36023,EM04657,PRO00193,25-11-2023,15-05-2023,9
ORD36024,EM04361,PRO00641,18-05-2023,11-02-2023,12
ORD36025,EM02150,PRO00702,05-04-2023,24-12-2023,5
ORD36026,EM04566,PRO00558,02-11-2023,04-06-2023,14
ORD36027,EM02241,PRO00613,08-04-2023,20-07-2023,1
ORD36028,EM00215,PRO00221,30-10-2023,29-05-2023,12
ORD36029,EM03073,PRO00171,23-10-2023,20-02-2023,11
ORD36030,EM03993,PRO00608,25-07-2023,14-05-2023,13
ORD36031,EM05214,PRO00729,21-09-2023,14-02-2023,12
ORD36032,EM04175,PRO00995,16-04-2023,13-10-2023,3
ORD36033,EM00074,PRO00365,16-03-2023,11-08-2023,7
ORD36034,EM00112,PRO00327,11-03-2023,04-05-2023,19
ORD36035,EM00587,PRO00383,06-07-2023,13-02-2023,17
ORD36036,EM01798,PRO00051,05-07-2023,13-03-2023,6
ORD36037,EM04223,PRO00572,02-11-2023,11-11-2023,3
ORD36038,EM04250,PRO00709,09-09-2023,12-08-2023,2
ORD36039,EM04992,PRO00619,03-09-2023,29-09-2023,16
ORD36040,EM04110,PRO00928,29-09-2023,25-10-2023,19
ORD36041,EM02874,PRO00154,08-12-2023,14-12-2023,2
ORD36042,EM01892,PRO00639,21-11-2023,05-10-2023,20
ORD36043,EM05552,PRO00036,29-12-2023,27-12-2023,18
ORD36044,EM00523,PRO00045,26-10-2023,08-05-2023,12
ORD36045,EM00839,PRO00072,22-08-2023,23-11-2023,19
ORD36046,EM04277,PRO00433,09-02-2023,06-07-2023,8
ORD36047,EM03193,PRO00983,15-05-2023,15-02-2023,13
ORD36048,EM05162,PRO00161,05-10-2023,28-10-2023,20
ORD36049,EM05034,PRO00422,18-01-2023,02-09-2023,12
ORD36050,EM00292,PRO00065,24-07-2023,10-11-2023,9
ORD36051,EM05079,PRO00374,05-06-2023,23-03-2023,16
ORD36052,EM00043,PRO00261,13-12-2023,02-02-2023,10
ORD36053,EM03698,PRO00514,16-07-2023,31-03-2023,8
ORD36054,EM02723,PRO00813,07-11-2023,23-02-2023,3
ORD36055,EM01874,PRO00755,25-11-2023,16-04-2023,8
ORD36056,EM00370,PRO00773,07-02-2023,19-12-2023,20
ORD36057,EM04646,PRO00477,23-07-2023,25-11-2023,2
ORD36058,EM02080,PRO00113,25-11-2023,23-02-2023,20
ORD36059,EM05489,PRO00994,29-03-2023,08-09-2023,18
ORD36060,EM01193,PRO00836,20-10-2023,10-10-2023,4
ORD36061,EM04620,PRO00685,05-08-2023,05-11-2023,4
ORD36062,EM00192,PRO00343,12-03-2023,19-10-2023,15
ORD36063,EM00735,PRO00699,10-06-2023,19-08-2023,18
ORD36064,EM02647,PRO00036,19-01-2023,27-03-2023,4
ORD36065,EM01378,PRO00902,05-05-2023,27-11-2023,13
ORD36066,EM00652,PRO00155,19-09-2023,24-05-2023,8
ORD36067,EM05352,PRO00812,10-12-2023,28-03-2023,6
ORD36068,EM04985,PRO00920,02-03-2023,19-03-2023,11
ORD36069,EM04806,PRO00499,13-07-2023,28-02-2023,6
ORD36070,EM01282,PRO00336,27-06-2023,29-09-2023,7
ORD36071,EM05001,PRO00255,09-06-2023,03-01-2023,4
ORD36072,EM00656,PRO00211,18-05-2023,24-03-2023,20
ORD36073,EM04806,PRO00141,07-02-2023,07-08-2023,10
ORD36074,EM00072,PRO00442,11-07-2023,07-01-2023,9
ORD36075,EM02116,PRO00744,14-05-2023,25-12-2023,19
ORD36076,EM03000,PRO00830,24-10-2023,13-04-2023,9
ORD36077,EM02239,PRO00268,21-12-2023,09-11-2023,18
ORD36078,EM03482,PRO00013,04-08-2023,11-05-2023,14
ORD36079,EM02688,PRO00105,23-04-2023,14-03-2023,12
ORD36080,EM00730,PRO00681,04-03-2023,12-01-2023,14
ORD36081,EM05016,PRO00441,20-03-2023,16-07-2023,2
ORD36082,EM00273,PRO00157,04-02-2023,18-04-2023,19
ORD36083,EM02794,PRO00128,22-06-2023,24-07-2023,13
ORD36084,EM04397,PRO00111,20-04-2023,02-08-2023,11
ORD36085,EM05395,PRO00475,08-01-2023,13-07-2023,19
ORD36086,EM01679,PRO00360,27-06-2023,05-03-2023,9
ORD36087,EM00210,PRO00076,03-11-2023,12-11-2023,14
ORD36088,EM00773,PRO00265,10-02-2023,04-03-2023,1
ORD36089,EM05596,PRO00178,18-03-2023,17-08-2023,1
ORD36090,EM00268,PRO00622,10-07-2023,24-05-2023,15
ORD36091,EM01130,PRO00068,22-03-2023,29-12-2023,13
ORD36092,EM05419,PRO01000,02-06-2023,12-12-2023,8
ORD36093,EM04073,PRO00292,14-11-2023,28-01-2023,14
